GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
920411026255962112,10/17/2017,http://twitter.com/AskPlayStation/status/920411026255962112,"@CJampion_ Not good. Please do the system update from safe mode, option 3: https://t.co/OOaq76kzAA Using Internet",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,728326,1249799,3140,"@CJampion_ Not good. Please do the system update from safe mode, option 3: https://t.co/OOaq76kzAA
Using Internet",Tweet,,
919865297775022080,10/16/2017,http://twitter.com/AskPS_UK/status/919865297775022080,@Ricky943796409 In this case we advise contacting https://t.co/lTYEZbE6qe for help with your TV ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,183027,63416,22,@Ricky943796409 In this case we advise contacting https://t.co/lTYEZbE6qe for help with your TV ^EG,Reply,,
919571639288893440,10/15/2017,http://twitter.com/AskPlayStation/status/919571639288893440,@jonnybarnett10 We have sent you a Direct Message via Twitter with further instructions.,@AskPlayStation,Ask PlayStation,,,,Neutral,Unclassified,Twitter,,727628,1249348,3139,@jonnybarnett10 We have sent you a Direct Message via Twitter with further instructions.,Reply,,
919203336867536896,10/14/2017,http://twitter.com/AskPS_UK/status/919203336867536896,"@Chris_G_Shirley Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MK",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,182112,63190,22,"@Chris_G_Shirley Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MK",Reply,,
919864194463338496,10/16/2017,http://twitter.com/AskPS_UK/status/919864194463338496,@chriscod1993 Sorry to hear this! What error code do you get when you try to access your account? ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,183024,63416,22,@chriscod1993 Sorry to hear this! What error code do you get when you try to access your account? ^EG,Reply,,
918793381089816577,10/13/2017,http://twitter.com/AskPS_UK/status/918793381089816577,@Ryanmaguire1989 Hello! Yes this will be copying your saved data ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,181634,63039,22,@Ryanmaguire1989 Hello! Yes this will be copying your saved data ^ES,Reply,,
919563445648883712,10/15/2017,http://twitter.com/AskPS_UK/status/919563445648883712,@AlexHannon04 Please make sure you are logged into the correct account and try the previous steps again ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,182675,63318,22,@AlexHannon04 Please make sure you are logged into the correct account and try the previous steps again ^EG,Reply,,
918858532426043394,10/13/2017,http://twitter.com/AskPS_UK/status/918858532426043394,@thegoodDRgonzo Hi there! Have you received an email stating a change of sign in ID? ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,181765,63061,22,@thegoodDRgonzo Hi there! Have you received an email stating a change of sign in ID? ^ES,Reply,,
920131105734479873,10/16/2017,http://twitter.com/AskPlayStation/status/920131105734479873,@PhilHarding12 Hi Josh. Let's look into that. Please check your DM's for further instructions.,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,728123,1249706,3140,@PhilHarding12 Hi Josh. Let's look into that. Please check your DM's for further instructions.,Reply,,
919262793311846400,10/14/2017,http://twitter.com/AskPS_UK/status/919262793311846400,@alex7t4 Have you received an e-mail telling you your sign-in ID has been changed. ^MN,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,182271,63236,22,@alex7t4 Have you received an e-mail telling you your sign-in ID has been changed. ^MN,Reply,,
919488052359319552,10/15/2017,http://twitter.com/AskPS_UK/status/919488052359319552,@Jonah_Lomas Try going in https://t.co/D9hEO3Gfxw se;ecting option 4. You won't lose any save data ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,182446,63271,22,@Jonah_Lomas Try going in https://t.co/D9hEO3Gfxw se;ecting option 4. You won't lose any save data ^EG,Reply,,
919447260538085376,10/15/2017,http://twitter.com/MikeVallor/status/919447260538085376,@AskPlayStation Need to request a refund. PlayStation Now was purchased without my approval.,@MikeVallor,Mike Vallor,,,,Neutral,Anger,Twitter,M,64,5,38,@AskPlayStation Need to request a refund. PlayStation Now was purchased without my approval.,Tweet,,
918719423288041472,10/13/2017,http://twitter.com/AskPlayStation/status/918719423288041472,@pikastoise Hi there. Do you see any kind of error message or error code?,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,727138,1248863,3135,@pikastoise  Hi there. Do you see any kind of error message or error code?,Reply,,
920230096010694656,10/17/2017,http://twitter.com/AskPS_UK/status/920230096010694656,@CraigCharlton2 No worries! I'm going to send you a DM. Please follow us if you haven't already. ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,183525,63545,22,@CraigCharlton2 No worries! I'm going to send you a DM. Please follow us if you haven't already. ^EG,Reply,,
920389039810850817,10/17/2017,http://twitter.com/AskPS_UK/status/920389039810850817,@Bosworthboi Hi there! Have you received an email stating a change of sign in ID? ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183884,63634,22,@Bosworthboi Hi there! Have you received an email stating a change of sign in ID? ^ES,Reply,,
919217765243867139,10/14/2017,http://twitter.com/AskPS_UK/status/919217765243867139,@OnAGoodMixture We do sometimes have competitions with prizes like PS4 Pro! Follow our blog to be the first one to know! ^MK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,182160,63200,22,@OnAGoodMixture We do sometimes have competitions with prizes like PS4 Pro! Follow our blog to be the first one to know! ^MK,Reply,,
920287276428644352,10/17/2017,http://twitter.com/AskPlayStation/status/920287276428644352,@AlyGammal Sorry to hear that! We have sent you a Direct Message via Twitter with further instructions.,@AskPlayStation,Ask PlayStation,,,,Negative,Neutral,Twitter,,728174,1249749,3140,@AlyGammal Sorry to hear that! We have sent you a Direct Message via Twitter with further instructions.,Reply,,
918809293926862848,10/13/2017,http://twitter.com/AskPS_UK/status/918809293926862848,@_MisterBlack_ Try option 5 also! ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,181672,63044,22,@_MisterBlack_  Try option 5 also! ^ES,Reply,,
920335028550324226,10/17/2017,http://twitter.com/AskPS_UK/status/920335028550324226,"@IdealSanq Hey! Sorry to hear this, what happens when you try to log in? ^ES",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Sadness,Twitter,,183739,63597,22,"@IdealSanq Hey! Sorry to hear this, what happens when you try to log in? ^ES",Reply,,
919913846864826368,10/16/2017,http://twitter.com/AskPlayStation/status/919913846864826368,@NealPace Are you currently located on the same country as your PSN account?,@AskPlayStation,Ask PlayStation,,,,Neutral,Unclassified,Twitter,,727919,1249498,3140,@NealPace Are you currently located on the same country as your PSN account?,Reply,,
918861181544255488,10/13/2017,http://twitter.com/AskPS_UK/status/918861181544255488,"@CrocsSweg Hello! Sorry about this, what was the item and have you checked within your download list? ^ES",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,181772,63063,22,"@CrocsSweg Hello! Sorry about this, what was the item and have you checked within your download list? ^ES",Reply,,
920341046130864128,10/17/2017,http://twitter.com/AskPS_UK/status/920341046130864128,@SpeedyR_1 Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,183760,63602,22,@SpeedyR_1 Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES,Reply,,
919615652318601218,10/15/2017,http://twitter.com/AskPS_UK/status/919615652318601218,@mattbedson12 Oh dear! Does this happen with all games? Does it happen to any other users on the PS4? ^MN,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,182821,63352,22,@mattbedson12 Oh dear! Does this happen with all games? Does it happen to any other users on the PS4? ^MN,Reply,,
919706491673808896,10/15/2017,http://twitter.com/AskPlayStation/status/919706491673808896,@jasonseekk Hello Jason. Let's look into that. Review the next article for further info on error code CE-34878-0: https://t.co/W7AhTUulnd,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,727826,1249456,3140,@jasonseekk Hello Jason. Let's look into that. Review the next article for further info on error code CE-34878-0: https://t.co/W7AhTUulnd,Reply,,
919352118053613568,10/14/2017,http://twitter.com/wiiiiill_ebooks/status/919352118053613568,"""PlayStation Now"" options have appeared in my predictive text.",@wiiiiill_ebooks,Will ebooks,,,,Neutral,Neutral,Twitter,M,495,5,3,"""PlayStation Now"" options have appeared in my predictive text.",Tweet,,
919279523211988994,10/14/2017,http://twitter.com/AskPS_UK/status/919279523211988994,@Aleandaterzino Just to clarify you are having a hard time streaming a movie in HD quality? ^MN,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,182304,63249,22,@Aleandaterzino Just to clarify you are having a hard time streaming a movie in HD quality? ^MN,Reply,,
919504979781652487,10/15/2017,http://twitter.com/AskPS_UK/status/919504979781652487,"@Dimitrialiba Hi there! Sure, you can! ^EG",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,182493,63277,22,"@Dimitrialiba Hi there! Sure, you can! ^EG",Reply,,
919992610646872064,10/16/2017,http://twitter.com/AskPS_UK/status/919992610646872064,@connoris69 Hey! Please see https://t.co/z7OgCeI8aC for more info on notification settings ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183278,63504,22,@connoris69 Hey! Please see https://t.co/z7OgCeI8aC for more info on notification settings ^ES,Reply,,
