GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
993137500947406848,5/6/2018,http://twitter.com/AskPS_UK/status/993137500947406848,@Bedrockminer_1 Ok. In this case it is likely that the transaction failed. Has your payment method been charged? Can you also check your transaction history as if it isn't there then the transaction definitely failed. ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,268233,101522,25,@Bedrockminer_1 Ok. In this case it is likely that the transaction failed. Has your payment method been charged? Can you also check your transaction history as if it isn't there then the transaction definitely failed. ^MM,Reply,,
991770552594350080,5/2/2018,http://twitter.com/JVCom/status/991770552594350080,Le PlayStation Now propose désormais des jeux PS2 Classics ! - Dark Cloud - Dark Chronicle - Rogue Galaxy - Wild Arms 3 - Arc : Le Clan des Deimos - Okage : Shadow King - Everybody's Tennis - Primal - Forbidden Siren - Ape Escape 2 - Fantavision https://t.co/M0KGbOy0Ex,@JVCom,jeuxvideo.com,France,Île-de-France,Paris,Negative,Neutral,Twitter,,93849,1077275,680,"Le PlayStation Now propose désormais des jeux PS2 Classics !
- Dark Cloud
- Dark Chronicle
- Rogue Galaxy
- Wild Arms 3
- Arc : Le Clan des Deimos
- Okage : Shadow King
- Everybody's Tennis
- Primal
- Forbidden Siren
- Ape Escape 2
- Fantavision https://t.co/M0KGbOy0Ex",Tweet,http://pbs.twimg.com/media/DcNG20HWsAEBsVn.jpg,Playstation
992871531599548417,5/5/2018,http://twitter.com/AskPS_UK/status/992871531599548417,@DeanSuckling We're sadly not allowed to offer out this information. You'll have to wait and see..... ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Sadness,Twitter,,268045,101447,25,@DeanSuckling We're sadly not allowed to offer out this information. You'll have to wait and see..... ^DK,Reply,,
992044416826257408,5/3/2018,http://twitter.com/AskPlayStation/status/992044416826257408,@CodLeaks42 That's not good. Using a USB you need to download the file from this link exactly and install it to the console: https://t.co/02Z3rHIR2o First format the USB to FAT32 or exFAT: https://t.co/7gauTWlhMY,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,786813,1337004,3184,"@CodLeaks42 That's not good. Using a USB you need to download the file from this link exactly and install it to the console: https://t.co/02Z3rHIR2o

First format the USB to FAT32 or exFAT: https://t.co/7gauTWlhMY",Reply,,
991406741047869440,5/1/2018,http://twitter.com/AskPS_UK/status/991406741047869440,@mrspbox This will be sent out via email within 5 days of you making this purchase. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,266814,101198,25,@mrspbox This will be sent out via email within 5 days of you making this purchase. ^DK,Reply,,
993136083746648064,5/6/2018,http://twitter.com/AskPS_UK/status/993136083746648064,"@steve_hayton You could either purchase UK money vouchers online and use them to fund your account. Ultimately the only other option is creating a new US account also and purchasing new content on that account. Whatever you decide, enjoy the US and good luck with everything! ^DK",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,268227,101522,25,"@steve_hayton You could either purchase UK money vouchers online and use them to fund your account. Ultimately the only other option is creating a new US account also and purchasing new content on that account. Whatever you decide, enjoy the US and good luck with everything! ^DK",Reply,,
990551694080724992,4/29/2018,http://twitter.com/AskPS_UK/status/990551694080724992,@LogikRt In this case you'll need to talk to your bank as someone is using your payment details to make purchases. ^NL,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,265640,100981,25,@LogikRt In this case you'll need to talk to your bank as someone is using your payment details to make purchases. ^NL,Reply,,
992456921557938176,5/4/2018,http://twitter.com/AskPlayStation/status/992456921557938176,@EltonC65185448 No worries! Please try to refresh the licenses on your system. Here you have the steps how to restore the licenses in the console. Steps here: https://t.co/WATnmgS37Z,@AskPlayStation,Ask PlayStation,,,,Positive,Unclassified,Twitter,,787155,1336925,3184,@EltonC65185448 No worries! Please try to refresh the licenses on your system. Here you have the steps how to restore the licenses in the console. Steps here: https://t.co/WATnmgS37Z,Reply,,
990662686466854912,4/29/2018,http://twitter.com/AskPS_UK/status/990662686466854912,@niallhrobinson I'm afraid we can only work with the police themselves to track a console. Please have them contact us via help@uk.playstation.com so that we can do this. ^DB,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,266024,101031,25,@niallhrobinson I'm afraid we can only work with the police themselves to track a console. Please have them contact us via help@uk.playstation.com so that we can do this. ^DB,Reply,,
990598581018034176,4/29/2018,http://twitter.com/AskPS_UK/status/990598581018034176,@FOD090914 Can you tell me when the error code is occurring? ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,265781,100997,25,@FOD090914 Can you tell me when the error code is occurring? ^DK,Reply,,
