GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1038430841461002242,9/8/2018,http://twitter.com/AskPS_UK/status/1038430841461002242,"@brandon34208555 When you go to the page to remotely deactivate you console, does it show any consoles currently active on your account? ^MM",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Sadness,Twitter,,319070,116732,23,"@brandon34208555 When you go to the page to remotely deactivate you console, does it show any consoles currently active on your account? ^MM",Reply,,
1037650379360546816,9/6/2018,http://twitter.com/PlayStationUSA7/status/1037650379360546816,PlayStation Now's September Lineup Includes Bloodborne and More https://t.co/TbinyY208b,@PlayStationUSA7,PlayStation USA,,,,Neutral,Neutral,Twitter,,17893,99,83,PlayStation Now's September Lineup Includes Bloodborne and More https://t.co/TbinyY208b,Tweet,,
1036600048090537986,9/3/2018,http://twitter.com/AskPS_UK/status/1036600048090537986,@sambbe69 Hi! Can you please try restoring your licences. Instructions for this can be found here - https://t.co/tj8vHFgkQk. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,316129,115916,23,@sambbe69 Hi! Can you please try restoring your licences. Instructions for this can be found here - https://t.co/tj8vHFgkQk. ^DK,Reply,,
1036304354817597441,9/2/2018,http://twitter.com/AskPlayStation/status/1036304354817597441,"@darrenmcbay01 No worries! Please follow this link for more info on how to reset your password: https://t.co/6Cv9bgut2Q and on the fourth question select ""No"" to find the contact options for further assistance.",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,830730,1354886,3132,"@darrenmcbay01 No worries! Please follow this link for more info on how to reset your password: https://t.co/6Cv9bgut2Q and on the fourth question select ""No"" to find the contact options for further assistance.",Reply,,
1036314000823410688,9/2/2018,http://twitter.com/AskPS_UK/status/1036314000823410688,"@balistic231 Hello! Yes, this is possible. Please check our cancellation policy and how to request a refund here: https://t.co/1X9cmqrhsH ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,315866,115845,23,"@balistic231 Hello! Yes, this is possible. Please check our cancellation policy and how to request a refund here: https://t.co/1X9cmqrhsH ^AS",Reply,,
1038017378146283520,9/7/2018,http://twitter.com/AskPS_UK/status/1038017378146283520,"@Dan_Z99 Yes, I understand, but only EA can help with this, as we don't control anything to do with FIFA 18. If it isn't appearing in-game, you'll need to speak to them about this. ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Anger,Twitter,,318229,116482,23,"@Dan_Z99 Yes, I understand, but only EA can help with this, as we don't control anything to do with FIFA 18. If it isn't appearing in-game, you'll need to speak to them about this. ^DB",Reply,,
1037221680739962881,9/5/2018,http://twitter.com/AskPlayStation/status/1037221680739962881,@x_takeuchi Sure we can help. We sent you a DM.,@AskPlayStation,Ask PlayStation,,,,Positive,Unclassified,Twitter,,831633,1355401,3130,@x_takeuchi Sure we can help. We sent you a DM.,Reply,,
1038493654451740674,9/8/2018,http://twitter.com/AskPlayStation/status/1038493654451740674,"@BjarniGlyvradal Sadly we are unable to check the information that you are sending, can you please type the error code or message that you are receiving?",@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,832848,1356955,3127,"@BjarniGlyvradal Sadly we are unable to check the information that you are sending, can you please type the error code or message that you are receiving?",Reply,,
1036322570541457408,9/2/2018,http://twitter.com/AskPlayStation/status/1036322570541457408,@LyndonJenkins13 You are welcome anytime. Let us know if there's anything we can lend a hand with!,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,830747,1354882,3132,@LyndonJenkins13 You are welcome anytime. Let us know if there's anything we can lend a hand with!,Reply,,
1038185530364755968,9/7/2018,http://twitter.com/AskPlayStation/status/1038185530364755968,"@BrianHo74441955 Hi Brian! For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,832601,1356430,3127,"@BrianHo74441955 Hi Brian! For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n",Reply,,
