GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1049954476508016640,2018/10/10,http://twitter.com/AskPS_UK/status/1049954476508016640,"@daniellinton16 Our UK support line opens in 4 minutes, you'll need to call when the lines open as I can't take account details over Twitter. ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,336638,121119,23,"@daniellinton16 Our UK support line opens in 4 minutes, you'll need to call when the lines open as I can't take account details over Twitter. ^AS",Reply,,
1050121237727469568,2018/10/10,http://twitter.com/AskPS_UK/status/1050121237727469568,@joecann91 This depends on if the game you try to reinstall/download again can utilise enough of the free space currently left to do so. We can't provide any guarantees on this as game sizes can change with patches. ^DB,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,337037,121166,23,@joecann91 This depends on if the game you try to reinstall/download again can utilise enough of the free space currently left to do so. We can't provide any guarantees on this as game sizes can change with patches. ^DB,Reply,,
1049343666848854017,2018/10/08,http://twitter.com/PlayStation/status/1049343666848854017,From High Noon to full moon... send shivers down foes' spines as UNDEAD MCCREE! Gather your friends to outlast the night -- Overwatch's Halloween Terror begins October 9! https://t.co/srWyeQCF95,@PlayStation,PlayStation,United States of America,California,,Neutral,Fear,Twitter,,28135,15781638,805,"From High Noon to full moon... send shivers down foes' spines as UNDEAD MCCREE! 

Gather your friends to outlast the night -- Overwatch's Halloween Terror begins October 9! https://t.co/srWyeQCF95",Tweet,,
1048965109652045824,2018/10/07,http://twitter.com/AskPS_UK/status/1048965109652045824,@keratoks84 What did our tool request you do to help your connection? ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,335497,120844,23,@keratoks84 What did our tool request you do to help your connection? ^DK,Reply,,
1049862272305295361,2018/10/09,http://twitter.com/AskPlayStation/status/1049862272305295361,@CoreyBelief Hi Corey! How can we help?,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,843575,1369207,3124,@CoreyBelief Hi Corey! How can we help?,Reply,,
1049995920107065344,2018/10/10,http://twitter.com/AskPS_UK/status/1049995920107065344,"@woollyspider1 Alright, I'll send you a DM about this so we can figure out what's gone wrong with the site! ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,336700,121128,23,"@woollyspider1 Alright, I'll send you a DM about this so we can figure out what's gone wrong with the site! ^AS",Reply,,
1049336704312721409,2018/10/08,http://twitter.com/AskPlayStation/status/1049336704312721409,@Gabrielswe20 Thank you for contacting us. You will receive and email with more details and time of the suspension. Also you can check this link: https://t.co/2CpHxuUKRB for more information about banned accounts.,@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,843003,1368634,3123,@Gabrielswe20 Thank you for contacting us. You will receive and email with more details and time of the suspension. Also you can check this link: https://t.co/2CpHxuUKRB for more information about banned accounts.,Reply,,
1049350050948812802,2018/10/08,http://twitter.com/AskPlayStation/status/1049350050948812802,"@joytries Thank you for contacting us. For info about refund requests, click here: https://t.co/MInrgZSl48 look for the reason of the refund and follow the steps. If the last option is to contact our support choose chat or phone support since they are the ones that handle refund requests.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,843014,1368657,3123,"@joytries Thank you for contacting us. For info about refund requests, click here: https://t.co/MInrgZSl48 look for the reason of the refund and follow the steps. If the last option is to contact our support choose chat or phone support since they are the ones that handle refund requests.",Reply,,
1049615930559324160,2018/10/09,http://twitter.com/ZaqsArts/status/1049615930559324160,PS4 games news: GOOD news for PlayStation owners as Sony reveal update - NEW HOLIDAY plans from Sony has revealed some good news for PlayStation fans and PS4 gamers. https://t.co/UkcyZcI8gK,@ZaqsArts,Entertainment News,United States of America,California,Los Angeles,Neutral,Neutral,Twitter,,11167,678,1397,PS4 games news: GOOD news for PlayStation owners as Sony reveal update - NEW HOLIDAY plans from Sony has revealed some good news for PlayStation fans and PS4 gamers. https://t.co/UkcyZcI8gK,Tweet,,
1049689349514846208,2018/10/09,http://twitter.com/AskPS_UK/status/1049689349514846208,@SarahChow19 I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,336368,121060,23,@SarahChow19 I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,Reply,,
1049634648542842880,2018/10/09,http://twitter.com/AskPS_UK/status/1049634648542842880,"@NITTNUT_ Hello! The preload period typically starts 48 hours before release, according to the timer you can find from Library>Purchased and selecting the game. Have you checked with the publisher when your region will have preload available? ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,336270,121038,23,"@NITTNUT_ Hello! The preload period typically starts 48 hours before release, according to the timer you can find from Library>Purchased and selecting the game. Have you checked with the publisher when your region will have preload available? ^AS",Reply,,
1049613625420369922,2018/10/09,http://twitter.com/AskPS_UK/status/1049613625420369922,"@_KieranWiilson Ok, have you tried resetting the controller? You can find a guide for this here: https://t.co/0XuzU8uBdV. ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,336240,121032,23,"@_KieranWiilson Ok, have you tried resetting the controller? You can find a guide for this here: https://t.co/0XuzU8uBdV. ^NL",Reply,,
1049087054125174785,2018/10/07,http://twitter.com/AskPlayStation/status/1049087054125174785,"@CarlosR63520401 We really need you download this file from our website, then install on your console. This way you can fix this issue in your console.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,842801,1368493,3123,"@CarlosR63520401 We really need you download this file from our website, then install on your console. This way you can fix this issue in your console.",Reply,,
1049190469329199105,2018/10/08,http://twitter.com/AskPlayStation/status/1049190469329199105,"@TheTorete_CF Hi, here to help you! We could not see the attachment. Please provide us with more details about your concern.",@AskPlayStation,Ask PlayStation,,,,Neutral,Unclassified,Twitter,,842944,1368533,3123,"@TheTorete_CF Hi, here to help you! We could not see the attachment. Please provide us with more details about your concern.",Reply,,
1049317054430502913,2018/10/08,http://twitter.com/AskPS_UK/status/1049317054430502913,@i7f8_ Hi! We don't have an accurate time frame for this but we are still looking into it and will hopefully have a solution soon. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,335967,120968,23,@i7f8_ Hi! We don't have an accurate time frame for this but we are still looking into it and will hopefully have a solution soon. ^DK,Reply,,
1049597251063037954,2018/10/09,http://twitter.com/AskPS_UK/status/1049597251063037954,@SladeEdwardsWP Hi! Sorry to hear that! Have you checked out this page on cancelling them? You should be able to contact us via phone or email to cancel it: https://t.co/H8xO83SxIz ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,336216,121027,23,@SladeEdwardsWP Hi! Sorry to hear that! Have you checked out this page on cancelling them? You should be able to contact us via phone or email to cancel it: https://t.co/H8xO83SxIz ^MM,Reply,,
1049241788291137536,2018/10/08,http://twitter.com/AskPS_UK/status/1049241788291137536,"@jemmadm Ok, are there any messages about overheating or any error codes, or just plain shutdown with no explanation whatsoever? ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,335820,120950,23,"@jemmadm Ok, are there any messages about overheating or any error codes, or just plain shutdown with no explanation whatsoever? ^NL",Reply,,
1049404961656922113,2018/10/08,http://twitter.com/MagGamerInc/status/1049404961656922113,PlayStation Now is the Greatest Streaming Service for Video games: https://t.co/y9hK02K5cy via @YouTube,@MagGamerInc,twitch.tv/MagGamerInc 🎮 Be The Movement,,,,Neutral,Neutral,Twitter,,23513,1891,1292,PlayStation Now is the Greatest Streaming Service for Video games: https://t.co/y9hK02K5cy via @YouTube,Tweet,,
1048981755871604737,2018/10/07,http://twitter.com/Puertorock77_/status/1048981755871604737,@FireCrotchCoral @Alejandroid1979 @BeastFireTimdog @YouTube They also said they didn’t do crossplay. PS5 will have BC cause it’s revenue. Tons of PS4 games can still be purchased without having to remake them. MS has BC yet those games are on Gamepass so PSNow won’t be a factor. The main issue is PS4’s inability to emulate PS3 games.,@Puertorock77_,Puertorock77,,,,Negative,Neutral,Twitter,,35237,2292,382,@FireCrotchCoral @Alejandroid1979 @BeastFireTimdog @YouTube They also said they didn’t do crossplay. PS5 will have BC cause it’s revenue. Tons of PS4 games can still be purchased without having to remake them. MS has BC yet those games are on Gamepass so PSNow won’t be a factor. The main issue is PS4’s inability to emulate PS3 games.,Reply,,
