GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1053510998647324672,2018/10/20,http://twitter.com/AskPlayStation/status/1053510998647324672,"@DavidRa14178709 Glad to help! For further assistance with DLC please follow these steps: https://t.co/PR9L0S0kEu Just keep in mind that in game currency/content is automatically added to the game, you won't need to download it from the Library, just look inside the game after follow these steps.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,847650,1381140,3119,"@DavidRa14178709 Glad to help! For further assistance with DLC please follow these steps: https://t.co/PR9L0S0kEu Just keep in mind that in game currency/content is automatically added to the game, you won't need to download it from the Library, just look inside the game after follow these steps.",Reply,,
1053035214354690049,2018/10/18,http://twitter.com/AskPlayStation/status/1053035214354690049,@Miles2871 Sorry for the delay! Is the issue happening with more games?,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,847082,1380650,3119,@Miles2871 Sorry for the delay! Is the issue happening with more games?,Reply,,
1052927902692634624,2018/10/18,http://twitter.com/Lynne__Lynch/status/1052927902692634624,PlayStation Now three years on: is Sony's streaming service for games worth it?,@Lynne__Lynch,Lynne Lynch,,,,Neutral,Neutral,Twitter,F,21107,16,43,PlayStation Now three years on: is Sony's streaming service for games worth it?,Tweet,,
1052958018143424512,2018/10/18,http://twitter.com/AskPS_UK/status/1052958018143424512,@IPD81 Do you already own or have created a Netflix account? ^NJ,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,342207,123149,23,@IPD81 Do you already own or have created a Netflix account? ^NJ,Reply,,
1053425592534794241,2018/10/19,http://twitter.com/AskPlayStation/status/1053425592534794241,"@estebanesqui56 Sorry for the delay. Please start your system in safe mode and select the option ""Update System Software"" then select the option ""Update Using Internet. Here are some steps to go into safe mode: https://t.co/NiCy6xiXKC",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,847526,1381046,3119,"@estebanesqui56 Sorry for the delay. Please start your system in safe mode and select the option ""Update System Software"" then select the option ""Update Using Internet. Here are some steps to go into safe mode: https://t.co/NiCy6xiXKC",Reply,,
1052113862445715456,2018/10/16,http://twitter.com/AskPS_UK/status/1052113862445715456,"@rza_emr I've only got so many characters to speak with, so my answer might appear sharp, but it was just trying to fit all the info into one tweet. ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,340411,122047,23,"@rza_emr I've only got so many characters to speak with, so my answer might appear sharp, but it was just trying to fit all the info into one tweet. ^DB",Reply,,
1052343268380430336,2018/10/16,http://twitter.com/AskPlayStation/status/1052343268380430336,@Pookdog007 We are glad to assist you with the Payment Processing issue. Please follow the steps in the next link: https://t.co/7atHEqJw8n,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,846287,1378693,3121,@Pookdog007 We are glad to assist you with the Payment Processing issue. Please follow the steps in the next link: https://t.co/7atHEqJw8n,Reply,,
1053123292423483393,2018/10/18,http://twitter.com/AskPlayStation/status/1053123292423483393,@micahhh12 @JithuRockzzz We are very sorry for that. To better assist you please elaborate more the issue you are having. Are you getting any error code or message?,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,847219,1380772,3119,@micahhh12 @JithuRockzzz We are very sorry for that. To better assist you please elaborate more the issue you are having. Are you getting any error code or message?,Reply,,
1053822726958399488,2018/10/20,http://twitter.com/AskPlayStation/status/1053822726958399488,@RutherFONT Sure we can clarify. Once you have performed this deactivation you cannot deactivate again 6 months. Details here: https://t.co/3nQ3ENX7sF,@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,848018,1381419,3119,"@RutherFONT Sure we can clarify. Once you have performed this deactivation you cannot deactivate again 6 months.
Details here: https://t.co/3nQ3ENX7sF",Reply,,
1053724921531154432,2018/10/20,http://twitter.com/AskPlayStation/status/1053724921531154432,"@Ali11012581 Sorry to hear that! Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once do you! Thanks.",@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,847838,1381358,3119,"@Ali11012581 Sorry to hear that! Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once do you! Thanks.",Reply,,
1052778257391730688,2018/10/18,http://twitter.com/AskPlayStation/status/1052778257391730688,@AmanoFaze Here to assist! Please let us know the exact error code or error message that you receive when you try to sign in to your account.,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,846858,1380414,3120,@AmanoFaze Here to assist! Please let us know the exact error code or error message that you receive when you try to sign in to your account.,Reply,,
1052415993262342145,2018/10/17,http://twitter.com/AskPlayStation/status/1052415993262342145,"@pepolf0 Hello there! For assistance please follow us and send us a Direct Message, we look forward to your reply.",@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,846407,1379200,3120,"@pepolf0 Hello there! For assistance please follow us and send us a Direct Message, we look forward to your reply.",Reply,,
1053651465171070976,2018/10/20,http://twitter.com/AskPS_UK/status/1053651465171070976,@doorknob4823 Hi! Sorry we do not deal with bans or suspension here. Please contact our team at https://t.co/sRiJMB9p1S for help with this. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Unclassified,Twitter,,343243,123468,23,@doorknob4823 Hi! Sorry we do not deal with bans or suspension here. Please contact our team at https://t.co/sRiJMB9p1S for help with this. ^DK,Reply,,
1052495090504097792,2018/10/17,http://twitter.com/AskPS_UK/status/1052495090504097792,@VB0B75 Hi! Sorry to hear that! Can you try on another internet connection and let us know if the same error message comes up? ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,341086,122836,23,@VB0B75 Hi! Sorry to hear that! Can you try on another internet connection and let us know if the same error message comes up? ^MM,Reply,,
1053674432751902720,2018/10/20,http://twitter.com/AskPS_UK/status/1053674432751902720,@buqrayilmaz89 Can you test the internet connection and send us an image of the resulting page? ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,343319,123487,23,@buqrayilmaz89 Can you test the internet connection and send us an image of the resulting page? ^DK,Reply,,
1052813936448417792,2018/10/18,http://twitter.com/AskPlayStation/status/1052813936448417792,@danielr76602260 Here to assist! Please power cycle your network devices and try again: https://t.co/UUMNDRIFMj,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,846917,1380420,3120,@danielr76602260 Here to assist! Please power cycle your network devices and try again: https://t.co/UUMNDRIFMj,Reply,,
1052569598732709890,2018/10/17,http://twitter.com/AskPS_UK/status/1052569598732709890,"@Laura_janee154 Hi there, sorry to hear that! If he has reason to believe his account was compromised, please advise him to follow the instructions on this page, under ""Has my account been compromised?"": https://t.co/yioO6gCNl2. ^GA",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,341454,122933,23,"@Laura_janee154 Hi there, sorry to hear that! If he has reason to believe his account was compromised, please advise him to follow the instructions on this page, under ""Has my account been compromised?"": https://t.co/yioO6gCNl2. ^GA",Reply,,
1051705536335540224,2018/10/15,http://twitter.com/AskPlayStation/status/1051705536335540224,"@iamkidshotty Hello, there! Please follow us as @AskPlayStation to provide you with further information in regards this matter.",@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,845553,1374387,3121,"@iamkidshotty Hello, there! Please follow us as @AskPlayStation to provide you with further information in regards this matter.",Reply,,
1052926167207071746,2018/10/18,http://twitter.com/AskPS_UK/status/1052926167207071746,"@J20Tom Hello! Can you elaborate on this, what exactly is the issue? Are you getting any error codes or messages? ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,342080,123132,23,"@J20Tom Hello! Can you elaborate on this, what exactly is the issue? Are you getting any error codes or messages? ^NL",Reply,,
1052199148026515456,2018/10/16,http://twitter.com/AskPS_UK/status/1052199148026515456,"@brickyardlondon Sorry, I'm unsure of the relation between download speeds and our cancellation policy? Could you let me know some more details about your issue? You can also check our cancellation policy here: https://t.co/BycCKFF1Ll ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,340550,122103,23,"@brickyardlondon Sorry, I'm unsure of the relation between download speeds and our cancellation policy? Could you let me know some more details about your issue? You can also check our cancellation policy here: https://t.co/BycCKFF1Ll ^AS",Reply,,
1053015888046252032,2018/10/18,http://twitter.com/Sony/status/1053015888046252032,@LucyInTime We believe in you.,@Sony,Sony,United States of America,New York,New York,Neutral,Joy,Twitter,,24040,4256400,1706,@LucyInTime We believe in you.,Reply,,
1052067984850739200,2018/10/16,http://twitter.com/AskPlayStation/status/1052067984850739200,@carlos2azamora Thank you! Please check your DMs for assistance.,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,846001,1374681,3121,@carlos2azamora Thank you! Please check your DMs for assistance.,Reply,,
