GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1089271232917319686,2019/01/26,http://twitter.com/AskPlayStation/status/1089271232917319686,@B_R_4_N Sorry to hear that. In this case we kindly ask you to follow us via Twitter so we can send you more information through your Direct Message. Let us know once you do.,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,886405,1393498,3086,@B_R_4_N Sorry to hear that. In this case we kindly ask you to follow us via Twitter so we can send you more information through your Direct Message. Let us know once you do.,Reply,,
1087377577784852480,2019/01/21,http://twitter.com/AskPlayStation/status/1087377577784852480,@BillCos28809783 We have sent you a DM with more details.,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,884751,1393347,3091,@BillCos28809783 We have sent you a DM with more details.,Reply,,
1089194899759603714,2019/01/26,http://twitter.com/AskPS_UK/status/1089194899759603714,"@LinkDaYoshi Hello, I'm sorry to hear that! Have you tried using a different con internet connections or devices? Can you tell us what country your PSN account is attached to? ^MM",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,381920,131633,23,"@LinkDaYoshi Hello, I'm sorry to hear that! Have you tried using a different con internet connections or devices? Can you tell us what country your PSN account is attached to? ^MM",Reply,,
1088490101708075009,2019/01/24,http://twitter.com/AskPlayStation/status/1088490101708075009,"@AbhorsenAube For further investigation please discuss this topic in our Community forums, here: https://t.co/PfH8iEQKb8",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,885686,1393239,3087,"@AbhorsenAube For further investigation please discuss this topic in our Community forums, here:  https://t.co/PfH8iEQKb8",Reply,,
1088130370288214016,2019/01/23,http://twitter.com/AskPS_UK/status/1088130370288214016,"@IoMtweets Hello, I'm sorry to hear that! If you didn't deactivate the auto renew manually, this is likely to be on in your previous subscription. For how long was the renewed subscription? ^MM",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,381107,131486,23,"@IoMtweets Hello, I'm sorry to hear that! If you didn't deactivate the auto renew manually, this is likely to be on in your previous subscription. For how long was the renewed subscription? ^MM",Reply,,
1088442767209099264,2019/01/24,http://twitter.com/AskPS_UK/status/1088442767209099264,"@willzy2934 Hello! Have you tried resetting the password yet? Please check this guide on how to do so, and what to do if you can't: https://t.co/ffcqVaTjoW ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,381323,131534,23,"@willzy2934 Hello! Have you tried resetting the password yet? Please check this guide on how to do so, and what to do if you can't: https://t.co/ffcqVaTjoW ^DB",Reply,,
1088487547871944704,2019/01/24,http://twitter.com/AskPlayStation/status/1088487547871944704,@Marcin16939382 Sorry to hear that. You will receive an email with the details of the ban/suspension: https://t.co/2CpHxuUKRB Make sure to check your spam/junk folder.,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,885677,1393232,3087,@Marcin16939382 Sorry to hear that. You will receive an email with the details of the ban/suspension: https://t.co/2CpHxuUKRB Make sure to check your spam/junk folder.,Reply,,
1087428710091902978,2019/01/21,http://twitter.com/AskPS_UK/status/1087428710091902978,@chrisholley12 You can easily just search it in the store. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Unclassified,Twitter,,380639,131401,23,@chrisholley12 You can easily just search it in the store. ^DK,Reply,,
1088591331700682757,2019/01/24,http://twitter.com/alexander8957/status/1088591331700682757,I added a video to a @YouTube playlist https://t.co/945YSemgj7 EL PLAYSTATION NOW DE SONY Y REGALO CODIGOS DE GAME PASS Y UN JUEGO,@alexander8957,alex medrano,,,,Neutral,Neutral,Twitter,M,70,3,15,I added a video to a @YouTube playlist https://t.co/945YSemgj7 EL PLAYSTATION NOW DE SONY Y REGALO CODIGOS DE GAME PASS Y UN JUEGO,Tweet,,
1088850636928663552,2019/01/25,http://twitter.com/Sony/status/1088850636928663552,@Luluperseu @LaurenJauregui True.,@Sony,Sony,United States of America,New York,New York,Neutral,Sadness,Twitter,,25478,4248924,1742,@Luluperseu @LaurenJauregui True.,Reply,,
1087717455055806464,2019/01/22,http://twitter.com/AskPlayStation/status/1087717455055806464,@NoahNeiman Glad to answer. Please find more details in the EA website: https://t.co/PgSnrqdun3,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,885038,1393218,3091,@NoahNeiman Glad to answer. Please find more details in the EA website: https://t.co/PgSnrqdun3,Reply,,
1087385768623001600,2019/01/21,http://twitter.com/AskPS_UK/status/1087385768623001600,"@AndrewKyrillou Unfortunately the time frame is really a matter of days and not that which you are discussing. Your data will have been removed, maybe not instantaneously but it will have been deleted. ^DK",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Sadness,Twitter,,380571,131385,23,"@AndrewKyrillou Unfortunately the time frame is really a matter of days and not that which you are discussing. Your data will have been removed, maybe not instantaneously but it will have been deleted. ^DK",Reply,,
1088582141527519232,2019/01/24,http://twitter.com/PlayStation/status/1088582141527519232,"Designed to improve performance, and maximize hand use. Make it yours with unparalleled customization and personalization.",@PlayStation,PlayStation,United States of America,California,,Positive,Joy,Twitter,,29094,16028891,755,"Designed to improve performance, and maximize hand use. Make it yours with unparalleled customization and personalization.",Tweet,,
1088063538638270464,2019/01/23,http://twitter.com/matt_stott_72/status/1088063538638270464,"PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/aEjFisgxI7 via @PlayStationEU",@matt_stott_72,Matthew.Stott,,,,Neutral,Neutral,Twitter,M,131045,2619,4992,"PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/aEjFisgxI7 via @PlayStationEU",Tweet,,
