GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1103848618736472064,2019/03/07,http://twitter.com/AskPlayStation/status/1103848618736472064,@court123neyy Sorry for the delay. Please check your Direct Messages for further instructions.,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,901278,1398832,3078,@court123neyy Sorry for the delay. Please check your Direct Messages for further instructions.,Reply,,
1103984379691483137,2019/03/08,http://twitter.com/AskPS_UK/status/1103984379691483137,"@firvulag359 Hi! We have not, can you tell us which glitch you are referring to? ^DK",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,394929,133837,24,"@firvulag359 Hi! We have not, can you tell us which glitch you are referring to? ^DK",Reply,,
1103738786415104000,2019/03/07,http://twitter.com/AskPlayStation/status/1103738786415104000,@badr_algaithy Anytime!,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,901104,1398700,3078,@badr_algaithy Anytime!,Reply,,
1103420240157921284,2019/03/06,http://twitter.com/AskPlayStation/status/1103420240157921284,@ColinCheck1 We are glad to help you with the connectivity issues. Please access this link https://t.co/cUXuBEew8d and choose the option that better describes the issue that you are experiencing.,@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,900834,1398480,3079,@ColinCheck1 We are glad to help you with the connectivity issues. Please access this link https://t.co/cUXuBEew8d and choose the option that better describes the issue that you are experiencing.,Reply,,
1103727210026942464,2019/03/07,http://twitter.com/AskPS_UK/status/1103727210026942464,"@twiner_amy Hi there, sorry to hear that! Do you have a reference number for the case? Don't share it here in tweets, just let me know if you have one. ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,394712,133796,24,"@twiner_amy Hi there, sorry to hear that! Do you have a reference number for the case? Don't share it here in tweets, just let me know if you have one. ^NL",Reply,,
1105292663744589825,2019/03/11,http://twitter.com/AskPlayStation/status/1105292663744589825,"@mykeallen Sorry for the inconvenience. Where you able to change the password and access your account again? Also, please let us know the Country that you selected when you created your PSN account and where are you located.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,902932,1399702,3075,"@mykeallen Sorry for the inconvenience. Where you able to change the password and access your account again? Also, please let us know the Country that you selected when you created your PSN account and where are you located.",Reply,,
1102569322785001472,2019/03/04,http://twitter.com/AskPS_UK/status/1102569322785001472,"@iAmSirBilly Okay, could you send us a recording of the noise please? A short video would also be fine. ^GA",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,393436,133648,24,"@iAmSirBilly Okay, could you send us a recording of the noise please? A short video would also be fine. ^GA",Reply,,
1103233314599718912,2019/03/06,http://twitter.com/AskPS_UK/status/1103233314599718912,@AnniBananniMixr Could you send us a screenshot of the error you get when signing in from console? Is this happening for all accounts on your console? ^GA,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,394029,133719,24,@AnniBananniMixr Could you send us a screenshot of the error you get when signing in from console? Is this happening for all accounts on your console? ^GA,Reply,,
1104093632984989697,2019/03/08,http://twitter.com/AskPlayStation/status/1104093632984989697,"@mrtjj_ We are glad to assist you. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you.",@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,901453,1398925,3076,"@mrtjj_ We are glad to assist you. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you.",Reply,,
1102756993872351232,2019/03/04,http://twitter.com/AskPlayStation/status/1102756993872351232,@TheDominGuy If that's the case then it seems that you are using the wrong password to sign in to your PSN account. Please follow this link for more info on how to reset your password: https://t.co/V5bCXrkqA1 Once you have changed the password try to sign in again.,@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,900259,1398127,3078,@TheDominGuy If that's the case then it seems that you are using the wrong password to sign in to your PSN account. Please follow this link for more info on how to reset your password: https://t.co/V5bCXrkqA1 Once you have changed the password try to sign in again.,Reply,,
1102238216588009473,2019/03/03,http://twitter.com/AskPS_UK/status/1102238216588009473,"@suziewill83 Hi, sorry to hear that! Can you let me know what you've purchased, as well as what exactly happens when you try to download it? ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,393157,133608,24,"@suziewill83 Hi, sorry to hear that! Can you let me know what you've purchased, as well as what exactly happens when you try to download it? ^NL",Reply,,
1104138820725936128,2019/03/08,http://twitter.com/arkangel_666/status/1104138820725936128,@PlayStation_LA Playstation now latinoamerica #paracuando,@arkangel_666,Arkangel_666,,,,Neutral,Neutral,Twitter,,1339,104,531,@PlayStation_LA Playstation now latinoamerica #paracuando,Reply,,
1103788685034696704,2019/03/07,http://twitter.com/AskPS_UK/status/1103788685034696704,"@Jonnthebomb Okay, you would need to contact our support team directly, please find the appropriate contact details for this in the page provided before. ^MM",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,394852,133818,24,"@Jonnthebomb Okay, you would need to contact our support team directly, please find the appropriate contact details for this in the page provided before. ^MM",Reply,,
1102229296729477120,2019/03/03,http://twitter.com/AskPlayStation/status/1102229296729477120,"@vimadalal15 Let’s get you back to gaming. Please go to the following article about changing the password: https://t.co/V5bCXrkqA1 In the question showed, select ""No"" and follow the steps available.",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,899556,1397730,3077,"@vimadalal15 Let’s get you back to gaming. Please go to the following article about changing the password: https://t.co/V5bCXrkqA1
In the question showed, select ""No"" and follow the steps available.",Reply,,
1104565040307417088,2019/03/09,http://twitter.com/AskPlayStation/status/1104565040307417088,"@SherlockShears Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us.",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,902006,1399314,3075,"@SherlockShears Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us.",Reply,,
1103348510345306113,2019/03/06,http://twitter.com/AskPlayStation/status/1103348510345306113,"@zac_rebel If you use the same account to make the purchase yes, You can find the steps on how back up the saved data on the link provided: https://t.co/4jNperlvMf",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,900754,1398425,3079,"@zac_rebel If you use the same account to make the purchase yes, You can find the steps on how back up the saved data on the link provided: https://t.co/4jNperlvMf",Reply,,
1105193248262369280,2019/03/11,http://twitter.com/AskPlayStation/status/1105193248262369280,"@CjPhelpsBDB Here to help. To make sure, what issue are you having with the purchase? Let us know more details to better understand your concern.",@AskPlayStation,Ask PlayStation,,,,Negative,Neutral,Twitter,,902753,1399641,3075,"@CjPhelpsBDB Here to help. To make sure, what issue are you having with the purchase? Let us know more details to better understand your concern.",Reply,,
1103033256335851521,2019/03/05,http://twitter.com/PGNewsHQ/status/1103033256335851521,PlayStation Now Adds 12 More Games for March https://t.co/6A106TVrsf #Gaming #News #pgnhq,@PGNewsHQ,Pᴜʀᴇ Gᴀᴍɪɴɢ Nᴇᴡs,,,,Neutral,Neutral,Twitter,,46826,966,1337,PlayStation Now Adds 12 More Games for March https://t.co/6A106TVrsf #Gaming #News #pgnhq,Tweet,,
1103752622018838528,2019/03/07,http://twitter.com/GigaBoots/status/1103752622018838528,@GigaBoots Also no direct integration into PlayStation Now is a critical error but the controller thing is a much larger problem.,@GigaBoots,GigaBoots,United States of America,Florida,,Negative,Anger,Twitter,,35367,1540,238,@GigaBoots Also no direct integration into PlayStation Now is a critical error but the controller thing is a much larger problem.,Reply,,
1104131664526094337,2019/03/08,http://twitter.com/AskPlayStation/status/1104131664526094337,"@therealpaulbond Hi Paul, sorry for the delay! Is the issue still happening?",@AskPlayStation,Ask PlayStation,,,,Negative,Neutral,Twitter,,901527,1398951,3075,"@therealpaulbond Hi Paul, sorry for the delay! Is the issue still happening?",Reply,,
1103550998679904256,2019/03/07,http://twitter.com/AskPlayStation/status/1103550998679904256,@Namedropper5000 Hi Tim! You can enable this option following these steps: https://t.co/lY76bKZ1eO,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,900959,1398536,3079,@Namedropper5000 Hi Tim! You can enable this option following these steps: https://t.co/lY76bKZ1eO,Reply,,
1102704641580642305,2019/03/04,http://twitter.com/AskPS_UK/status/1102704641580642305,"@LtdWyzn Yes, as long as it's working. Follow the steps on the page I sent to make sure you turn on Remote play and allow it in rest mode as well and you should be fine. Although, to be honest it is always better to connect your PS4 to a screen directly due to network lag. ^AH",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,393688,133665,24,"@LtdWyzn Yes, as long as it's working. Follow the steps on the page I sent to make sure you turn on Remote play and allow it in rest mode as well and you should be fine. Although, to be honest it is always better to connect your PS4 to a screen directly due to network lag. ^AH",Reply,,
1105174826627534848,2019/03/11,http://twitter.com/AskPS_UK/status/1105174826627534848,"@HenryEager Hello! If resetting the controller isn't helping, you may need to consider replacement. Please use our Fix & Repair site for more troubleshooting and the option of replacement under the 12 month warranty if it can't help: https://t.co/VNN8yy1roy ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,396154,134090,24,"@HenryEager Hello! If resetting the controller isn't helping, you may need to consider replacement. Please use our Fix & Repair site for more troubleshooting and the option of replacement under the 12 month warranty if it can't help: https://t.co/VNN8yy1roy ^DB",Reply,,
1102682317582200833,2019/03/04,http://twitter.com/AskPlayStation/status/1102682317582200833,@Evanina18 Strange! Please start your system in safe mode and rebuild the database: https://t.co/NiCy6xiXKC and check if there is any change.,@AskPlayStation,Ask PlayStation,,,,Neutral,Fear,Twitter,,900151,1398016,3078,@Evanina18 Strange! Please start your system in safe mode and rebuild the database: https://t.co/NiCy6xiXKC and check if there is any change.,Reply,,
1103192727833989121,2019/03/06,http://twitter.com/AskPlayStation/status/1103192727833989121,@Ty_Alexander21 Hi there! Please try redeeming the code here and let us know the outcome: https://t.co/68Uk36zbYR,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,900671,1398365,3079,@Ty_Alexander21 Hi there! Please try redeeming the code here and let us know the outcome: https://t.co/68Uk36zbYR,Reply,,
1103652426937192448,2019/03/07,http://twitter.com/PlayStation/status/1103652426937192448,"Starting today, you can stream your favorite PS4 games to your iOS devices with the PS4 6.50 update! Download the PS4 Remote Play app from the App Store to get started. https://t.co/65I0fNupP5 https://t.co/VHeOYAV1Uz",@PlayStation,PlayStation,United States of America,California,,Neutral,Neutral,Twitter,,29508,16124624,756,"Starting today, you can stream your favorite PS4 games to your iOS devices with the PS4 6.50 update! Download the PS4 Remote Play app from the App Store to get started. https://t.co/65I0fNupP5 https://t.co/VHeOYAV1Uz",Tweet,,
1104127792894173184,2019/03/08,http://twitter.com/AskPlayStation/status/1104127792894173184,"@MarkellBailey_ Hi there! Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once you do! Thanks.",@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,901513,1398944,3075,"@MarkellBailey_ Hi there! Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once you do! Thanks.",Reply,,
1103222414677344256,2019/03/06,http://twitter.com/AskPS_UK/status/1103222414677344256,"@cleggwaa If the publisher is unable to help you solve your issues, we can issue a refund, though they must admit they can't help you. Please report your problems to them instead of asking them for a refund and see if they can help. ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,394003,133718,24,"@cleggwaa If the publisher is unable to help you solve your issues, we can issue a refund, though they must admit they can't help you. Please report your problems to them instead of asking them for a refund and see if they can help. ^DB",Reply,,
1102251642056048640,2019/03/03,http://twitter.com/AskPlayStation/status/1102251642056048640,@zompire14 Sorry for the late reply! Please check the following article with more information about transferring data: https://t.co/o2Yykp0cSG,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,899600,1397748,3078,@zompire14 Sorry for the late reply! Please check the following article with more information about transferring data: https://t.co/o2Yykp0cSG,Reply,,
1103353706756624384,2019/03/06,http://twitter.com/AskPlayStation/status/1103353706756624384,@Dex_Alsharyoufi Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,900768,1398429,3079,@Dex_Alsharyoufi Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,Reply,,
1104810908436652033,2019/03/10,http://twitter.com/AskPS_UK/status/1104810908436652033,"@KernMikael Hello, this would be the EU version you are referring to which will include this language in the game. ^NJ",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,395846,134051,24,"@KernMikael Hello, this would be the EU version you are referring to which will include this language in the game. ^NJ",Reply,,
1103642596554039298,2019/03/07,http://twitter.com/AskPS_UK/status/1103642596554039298,"@AaronMessam No worries, have a nice day! ^NJ",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,394444,133754,24,"@AaronMessam No worries, have a nice day! ^NJ",Reply,,
1105193464306774022,2019/03/11,http://twitter.com/AskPS_UK/status/1105193464306774022,"@ChelseaSinnamon If you are sure you bought the game, please check your transaction history at https://t.co/srTF9P3t0f for the transaction. Don't share any screenshots though. ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,396190,134098,24,"@ChelseaSinnamon If you are sure you bought the game, please check your transaction history at https://t.co/srTF9P3t0f for the transaction. Don't share any screenshots though. ^DB",Reply,,
1103698314019684359,2019/03/07,http://twitter.com/AskPlayStation/status/1103698314019684359,@Kelvin91736942 We'd like to clarify that the Date of Birth cannot be changed Kevin: https://t.co/mj1xAGC6hY However you may check out our article about how to Change or Reset your PSN Password: https://t.co/Le0g5MyEkr And follow the instructions. to regain access to the PSN account.,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,901030,1398653,3079,@Kelvin91736942 We'd like to clarify that the Date of Birth cannot be changed Kevin: https://t.co/mj1xAGC6hY However you may check out our article about how to Change or Reset your PSN Password: https://t.co/Le0g5MyEkr And follow the instructions. to regain access to the PSN account.,Reply,,
1103690370733477888,2019/03/07,http://twitter.com/AskPS_UK/status/1103690370733477888,"@mazriggo Hello, sorry to hear that! Please click to visit our Fix & Replace Service - https://t.co/mgKcs4BNgm. It’s the best way to fix any problems you’re having, and you can arrange a replacement if it can’t be fixed. ^MM",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,394595,133776,24,"@mazriggo Hello, sorry to hear that! Please click to visit our Fix & Replace Service - https://t.co/mgKcs4BNgm. It’s the best way to fix any problems you’re having, and you can arrange a replacement if it can’t be fixed. ^MM",Reply,,
1102733830446829568,2019/03/04,http://twitter.com/AskPlayStation/status/1102733830446829568,@adi18bolt Sorry for the inconvenience Adam. Please make sure to check the junk and spam folder in your email. Also try to request the email again using the website: https://t.co/zqx6t4c65t,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,900230,1398093,3078,@adi18bolt Sorry for the inconvenience Adam. Please make sure to check the junk and spam folder in your email. Also try to request the email again using the website: https://t.co/zqx6t4c65t,Reply,,
1103770399354089473,2019/03/07,http://twitter.com/AskPlayStation/status/1103770399354089473,@TNixon_ Please let us know the error or issue you are having with the game.,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,901168,1398731,3078,@TNixon_ Please let us know the error or issue you are having with the game.,Reply,,
1104794623745146880,2019/03/10,http://twitter.com/AskPS_UK/status/1104794623745146880,@gabogunz Hi! Have you checked your transaction history to determine exactly what was purchased? ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,395826,134047,24,@gabogunz Hi! Have you checked your transaction history to determine exactly what was purchased? ^DK,Reply,,
1102246893265059841,2019/03/03,http://twitter.com/AskPS_UK/status/1102246893265059841,"@Iodyzer Hi, sorry to hear that! Have you checked with our Fix & Replace tool here: https://t.co/VNN8yy1roy? If not, please do and let me know how it goes. ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,393173,133610,24,"@Iodyzer Hi, sorry to hear that! Have you checked with our Fix & Replace tool here: https://t.co/VNN8yy1roy? If not, please do and let me know how it goes. ^NL",Reply,,
1104088221586059264,2019/03/08,http://twitter.com/FreeJAC/status/1104088221586059264,"@DannyStabb @Puertorock77_ @Nintendad_ PSNow -Job posting ""Putting console quality video games on any device"" -Wiki ""a selection of PlayStation 2, PlayStation 3 and PlayStation 4 games, which can then be streamed to their PlayStation 4 and PC"" Now who is reaching.... https://t.co/ODNZT7H3ti",@FreeJAC,FreeJAC 🇨🇦,Canada,Ontario,,Neutral,Neutral,Twitter,,12199,811,4992,"@DannyStabb @Puertorock77_ @Nintendad_ PSNow
-Job posting
""Putting console quality video games on any device"" 
-Wiki
""a selection of PlayStation 2, PlayStation 3 and PlayStation 4 games, which can then be streamed to their PlayStation 4 and PC""  Now who is reaching.... https://t.co/ODNZT7H3ti",Reply,,
1104918725394870272,2019/03/10,http://twitter.com/AskPlayStation/status/1104918725394870272,"@CyoteAdvertisi1 Glad to help. While the controller is connected. Locate the small reset button on the back near the L2 button. Use a small, unfolded paper clip or something similar to push the button inside the tiny hole. Hold the button down for roughly 3-5 seconds and release.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,902469,1399583,3074,"@CyoteAdvertisi1 Glad to help. While the controller is connected. Locate the small reset button on the back near the L2 button.  Use a small, unfolded paper clip or something similar to push the button inside the tiny hole. Hold the button down for roughly 3-5 seconds and release.",Reply,,
1103280848223301636,2019/03/06,http://twitter.com/AskPS_UK/status/1103280848223301636,"@MasonKing95 Hello! If you haven't begun downloading the content yet, we can provide a refund to your wallet to allow you to purchase the content at the discounted price. Please do so here: https://t.co/BycCKFF1Ll ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,394079,133719,24,"@MasonKing95 Hello! If you haven't begun downloading the content yet, we can provide a refund to your wallet to allow you to purchase the content at the discounted price. Please do so here: https://t.co/BycCKFF1Ll ^DB",Reply,,
1103036725499031552,2019/03/05,http://twitter.com/PlayStation/status/1103036725499031552,"Take control with the C40 TR Controller, fully customizable for any playstyle and any genre",@PlayStation,PlayStation,United States of America,California,,Neutral,Neutral,Twitter,,29494,16120670,756,"Take control with the C40 TR Controller, fully customizable for any playstyle and any genre",Tweet,,
1104739319904899074,2019/03/10,http://twitter.com/AskPS_UK/status/1104739319904899074,"@OisinMaguire10 I'm afraid, Dualshock4 is not compatible with iOS devices and cannot be used as input device. ^MM",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,395729,134018,24,"@OisinMaguire10 I'm afraid,  Dualshock4 is not compatible with iOS devices and cannot be used as input device. ^MM",Reply,,
1104866182669180928,2019/03/10,http://twitter.com/AskPS_UK/status/1104866182669180928,@UpwindManager18 HI! Can you still long into your account as normal here - https://t.co/4KvKeQI97r. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,396001,134077,24,@UpwindManager18 HI! Can you still long into your account as normal here - https://t.co/4KvKeQI97r. ^DK,Reply,,
1103197553003298816,2019/03/06,http://twitter.com/AskPlayStation/status/1103197553003298816,"@quitetheparadox Sorry to read that. Please follow us, so we can give you further assistance via Direct Message. Thanks!",@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,900678,1398366,3079,"@quitetheparadox Sorry to read that. Please follow us, so we can give you further assistance via Direct Message. Thanks!",Reply,,
1104088180029120512,2019/03/08,http://twitter.com/AskPlayStation/status/1104088180029120512,@breedo81 We might need to take a different look into it. We sent you a DM.,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,901445,1398939,3077,@breedo81 We might need to take a different look into it. We sent you a DM.,Reply,,
1103231802926424065,2019/03/06,http://twitter.com/AskPS_UK/status/1103231802926424065,"@lolly150 If anything is missing from the box at retail, you will need to bring this up with the retailer as you purchased it from them. Please speak to them for assistance. ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,394026,133720,24,"@lolly150 If anything is missing from the box at retail, you will need to bring this up with the retailer as you purchased it from them. Please speak to them for assistance. ^DB",Reply,,
1102987475251810304,2019/03/05,http://twitter.com/AskPlayStation/status/1102987475251810304,@anthonymerz33 We have sent you a Direct Message via Twitter with further instructions.,@AskPlayStation,Ask PlayStation,,,,Neutral,Unclassified,Twitter,,900394,1398258,3078,@anthonymerz33 We have sent you a Direct Message via Twitter with further instructions.,Reply,,
1104835501247381506,2019/03/10,http://twitter.com/AskPS_UK/status/1104835501247381506,@FortniteJoeC What does it say? Which region are you in at the moment? ^AH,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,395914,134058,24,@FortniteJoeC What does it say? Which region are you in at the moment? ^AH,Reply,,
1104776381471297542,2019/03/10,http://twitter.com/AskPS_UK/status/1104776381471297542,"@minatoreband No, they reopen tomorrow at 10:30am. ^DK",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,395787,134033,24,"@minatoreband No, they reopen tomorrow at 10:30am. ^DK",Reply,,
