GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1092846801781248002,2019/02/05,http://twitter.com/AskPlayStation/status/1092846801781248002,@animegamingguru Sorry for the late reply! We have sent you a DM with more details.,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,889879,1394177,3085,@animegamingguru Sorry for the late reply! We have sent you a DM with more details.,Reply,,
1094925531609554945,2019/02/11,http://twitter.com/Surfer9x/status/1094925531609554945,Tengo acceso a PlayStation Now !!! Gracias a @PlayStationES 👇👇👇👇👇👇👇👇👇👇👇 https://t.co/1FKVlAbjQy,@Surfer9x,Surfer9x,Spain,Cataluña,Barcelona,Neutral,Neutral,Twitter,,6782,4846,132,"Tengo acceso a PlayStation Now !!!
Gracias a @PlayStationES 
👇👇👇👇👇👇👇👇👇👇👇
https://t.co/1FKVlAbjQy",Tweet,,
1092450872766935043,2019/02/04,http://twitter.com/AskPlayStation/status/1092450872766935043,@HneenDM Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,889450,1394092,3084,@HneenDM Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,Reply,,
1092456182214733824,2019/02/04,http://twitter.com/AskPlayStation/status/1092456182214733824,"@holdyourside Please make sure that your console is fully updated. Go to [Settings] > [System Software Update] . If it is updated, please try signing in through a computer or mobile and let us know if you receive an error as well.",@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,889461,1394097,3084,"@holdyourside Please make sure that your console is fully updated.  Go to [Settings] > [System Software Update] . If it is updated, please try signing in through a computer or mobile and let us know if you receive an error as well.",Reply,,
1093875714041004034,2019/02/08,http://twitter.com/AskPS_UK/status/1093875714041004034,"@AdaJusic I'm going to send you a DM. please follow us if you haven't already, ^NJ",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,385782,132127,24,"@AdaJusic I'm going to send you a DM. please follow us if you haven't already, ^NJ",Reply,,
1093552303360131073,2019/02/07,http://twitter.com/AskPS_UK/status/1093552303360131073,"@metalsynkk Let's hold the horses on that one for a bit. Can't fit the next step into a tweet, so we'll need to phase into DMs - please make sure you're following us so I can message you. ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,385512,132117,24,"@metalsynkk Let's hold the horses on that one for a bit. Can't fit the next step into a tweet, so we'll need to phase into DMs - please make sure you're following us so I can message you. ^NL",Reply,,
1094967628899196928,2019/02/11,http://twitter.com/AskPS_UK/status/1094967628899196928,@WatsonJKnights Great! glad it's resolved now. Let us know if you have any other issues. Have a great day!,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,386851,132417,24,@WatsonJKnights Great! glad it's resolved now. Let us know if you have any other issues. Have a great day!,Reply,,
1093445288432418816,2019/02/07,http://twitter.com/AskPS_UK/status/1093445288432418816,"@adferrie91 Hello, sorry to hear that! As this error code is related to an issue with your internet connection, Can you check your current connection with the console using these steps and let us know the results: https://t.co/nh79Sj76IU ^NJ",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,385399,132109,24,"@adferrie91 Hello, sorry to hear that! As this error code is related to an issue with your internet connection, Can you check your current connection with the console using these steps and let us know the results: https://t.co/nh79Sj76IU ^NJ",Reply,,
1095352412477497344,2019/02/12,http://twitter.com/AskPS_UK/status/1095352412477497344,"@concertina226 I'm going to send you a DM. please follow us if you haven't already, ^NJ",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,387146,132453,24,"@concertina226 I'm going to send you a DM. please follow us if you haven't already, ^NJ",Reply,,
1094742494523334658,2019/02/10,http://twitter.com/AskPlayStation/status/1094742494523334658,"@Andylee0001Lee We are glad to assist you Andrew. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you.",@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,892104,1394817,3085,"@Andylee0001Lee We are glad to assist you Andrew. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you.",Reply,,
