Date_Ext,negative,neutral,positive,unknown
2019-02-02 ,2,0,1,0
2019-02-03 ,0,0,0,2
2019-02-04 ,1,0,0,0
2019-02-07 ,1,19,294,7
2019-02-08 ,0,8,71,5
2019-02-09 ,0,91,10,0
2019-02-10 ,0,4,18,0
2019-02-11 ,2,2,7,0
2019-02-12 ,0,0,2,0
2019-02-13 ,0,0,4,0
2019-02-14 ,0,2,5,0
2019-02-18 ,0,0,1,0
2019-02-19 ,0,0,1,0
2019-02-20 ,0,0,4,0
2019-02-22 ,0,0,1,0
2019-02-25 ,1,0,2,0
2019-02-26 ,8,0,1,0
2019-02-27 ,2,0,1,0
2019-03-01 ,1,10,2,0
2019-03-02 ,0,1,0,0
2019-03-03 ,2,0,0,0
2019-03-04 ,0,0,1,0
2019-03-05 ,0,0,4,0
2019-03-06 ,0,0,1,0
2019-03-07 ,0,2,3,0
2019-03-09 ,0,2,0,0
2019-03-10 ,0,0,2,0
2019-03-12 ,21,0,26,2
2019-03-13 ,10,0,6,0
2019-03-14 ,2,0,1,0
2019-03-15 ,0,1,3,0
2019-03-16 ,0,0,1,0
2019-03-17 ,1,1,3,0
2019-03-19 ,2,0,2,0
2019-03-20 ,3,1,0,0
2019-03-21 ,0,0,2,0
2019-03-22 ,0,0,1,0
2019-03-25 ,0,0,3,0
2019-03-26 ,0,0,1,0
2019-03-27 ,0,0,1,0
2019-03-29 ,0,1,1,0
2019-03-30 ,0,0,1,0
