Date (EST),Contents,Post Title,Date_Ext,token_text,sentiment_py
2019/01/26,@B_R_4_N Sorry to hear that. In this case we kindly ask you to follow us via Twitter so we can send you more information through your Direct Message. Let us know once you do. @B_R_4_N Sorry to hear that. In this case we kindly ask you to follow us via Twitter so we can send you more information through your Direct Message. Let us know once you do.,@B_R_4_N Sorry to hear that. In this case we kindly ask you to follow us via Twitter so we can send you more information through your Direct Message. Let us know once you do.,2019/01/26,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'in', 'this', 'case', 'we', 'kindly', 'ask', 'you', 'to', 'follow', 'us', 'via', 'twitter', 'so', 'we', 'can', 'send', 'you', 'more', 'information', 'through', 'your', 'direct', 'message', '', 'let', 'us', 'know', 'once', 'you', 'do', '', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'in', 'this', 'case', 'we', 'kindly', 'ask', 'you', 'to', 'follow', 'us', 'via', 'twitter', 'so', 'we', 'can', 'send', 'you', 'more', 'information', 'through', 'your', 'direct', 'message', '', 'let', 'us', 'know', 'once', 'you', 'do', '']",positive
2019/01/21,@BillCos28809783 We have sent you a DM with more details. @BillCos28809783 We have sent you a DM with more details.,@BillCos28809783 We have sent you a DM with more details.,2019/01/21,"['SCREEN_NAME', 'we', 'have', 'sent', 'you', 'a', 'dm', 'with', 'more', 'details', '', 'SCREEN_NAME', 'we', 'have', 'sent', 'you', 'a', 'dm', 'with', 'more', 'details', '']",positive
2019/01/26,"@LinkDaYoshi Hello, I'm sorry to hear that! Have you tried using a different con internet connections or devices? Can you tell us what country your PSN account is attached to? ^MM @LinkDaYoshi Hello, I'm sorry to hear that! Have you tried using a different con internet connections or devices? Can you tell us what country your PSN account is attached to? ^MM","@LinkDaYoshi Hello, I'm sorry to hear that! Have you tried using a different con internet connections or devices? Can you tell us what country your PSN account is attached to? ^MM",2019/01/26,"['SCREEN_NAME', 'hello', '', 'i', 'm', 'sorry', 'to', 'hear', 'that', '', 'have', 'you', 'tried', 'using', 'a', 'different', 'con', 'internet', 'connections', 'or', 'devices', '', 'can', 'you', 'tell', 'us', 'what', 'country', 'your', 'psn', 'account', 'is', 'attached', 'to', '', 'mm', 'SCREEN_NAME', 'hello', '', 'i', 'm', 'sorry', 'to', 'hear', 'that', '', 'have', 'you', 'tried', 'using', 'a', 'different', 'con', 'internet', 'connections', 'or', 'devices', '', 'can', 'you', 'tell', 'us', 'what', 'country', 'your', 'psn', 'account', 'is', 'attached', 'to', '', 'mm']",negative
2019/01/24,"@AbhorsenAube For further investigation please discuss this topic in our Community forums, here: https://t.co/PfH8iEQKb8 @AbhorsenAube For further investigation please discuss this topic in our Community forums, here:  https://t.co/PfH8iEQKb8","@AbhorsenAube For further investigation please discuss this topic in our Community forums, here:  https://t.co/PfH8iEQKb8",2019/01/24,"['SCREEN_NAME', 'for', 'further', 'investigation', 'please', 'discuss', 'this', 'topic', 'in', 'our', 'community', 'forums', '', 'here', 'SCREEN_NAME', 'for', 'further', 'investigation', 'please', 'discuss', 'this', 'topic', 'in', 'our', 'community', 'forums', '', 'here']",neutral
2019/01/23,"@IoMtweets Hello, I'm sorry to hear that! If you didn't deactivate the auto renew manually, this is likely to be on in your previous subscription. For how long was the renewed subscription? ^MM @IoMtweets Hello, I'm sorry to hear that! If you didn't deactivate the auto renew manually, this is likely to be on in your previous subscription. For how long was the renewed subscription? ^MM","@IoMtweets Hello, I'm sorry to hear that! If you didn't deactivate the auto renew manually, this is likely to be on in your previous subscription. For how long was the renewed subscription? ^MM",2019/01/23,"['SCREEN_NAME', 'hello', '', 'i', 'm', 'sorry', 'to', 'hear', 'that', '', 'if', 'you', 'did', 'nt', 'deactivate', 'the', 'auto', 'renew', 'manually', '', 'this', 'is', 'likely', 'to', 'be', 'on', 'in', 'your', 'previous', 'subscription', '', 'for', 'how', 'long', 'was', 'the', 'renewed', 'subscription', '', 'mm', 'SCREEN_NAME', 'hello', '', 'i', 'm', 'sorry', 'to', 'hear', 'that', '', 'if', 'you', 'did', 'nt', 'deactivate', 'the', 'auto', 'renew', 'manually', '', 'this', 'is', 'likely', 'to', 'be', 'on', 'in', 'your', 'previous', 'subscription', '', 'for', 'how', 'long', 'was', 'the', 'renewed', 'subscription', '', 'mm']",negative
2019/01/24,"@willzy2934 Hello! Have you tried resetting the password yet? Please check this guide on how to do so, and what to do if you can't: https://t.co/ffcqVaTjoW ^DB @willzy2934 Hello! Have you tried resetting the password yet? Please check this guide on how to do so, and what to do if you can't: https://t.co/ffcqVaTjoW ^DB","@willzy2934 Hello! Have you tried resetting the password yet? Please check this guide on how to do so, and what to do if you can't: https://t.co/ffcqVaTjoW ^DB",2019/01/24,"['SCREEN_NAME', 'hello', '', 'have', 'you', 'tried', 'resetting', 'the', 'password', 'yet', '', 'please', 'check', 'this', 'guide', 'on', 'how', 'to', 'do', 'so', '', 'and', 'what', 'to', 'do', 'if', 'you', 'ca', 'nt', 'db', 'SCREEN_NAME', 'hello', '', 'have', 'you', 'tried', 'resetting', 'the', 'password', 'yet', '', 'please', 'check', 'this', 'guide', 'on', 'how', 'to', 'do', 'so', '', 'and', 'what', 'to', 'do', 'if', 'you', 'ca', 'nt', 'db']",neutral
2019/01/24,@Marcin16939382 Sorry to hear that. You will receive an email with the details of the ban/suspension: https://t.co/2CpHxuUKRB Make sure to check your spam/junk folder. @Marcin16939382 Sorry to hear that. You will receive an email with the details of the ban/suspension: https://t.co/2CpHxuUKRB Make sure to check your spam/junk folder.,@Marcin16939382 Sorry to hear that. You will receive an email with the details of the ban/suspension: https://t.co/2CpHxuUKRB Make sure to check your spam/junk folder.,2019/01/24,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'you', 'will', 'receive', 'an', 'email', 'with', 'the', 'details', 'of', 'the', 'bansuspension', 'make', 'sure', 'to', 'check', 'your', 'spamjunk', 'folder', '', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'you', 'will', 'receive', 'an', 'email', 'with', 'the', 'details', 'of', 'the', 'bansuspension', 'make', 'sure', 'to', 'check', 'your', 'spamjunk', 'folder', '']",neutral
2019/01/21,@chrisholley12 You can easily just search it in the store. ^DK @chrisholley12 You can easily just search it in the store. ^DK,@chrisholley12 You can easily just search it in the store. ^DK,2019/01/21,"['SCREEN_NAME', 'you', 'can', 'easily', 'just', 'search', 'it', 'in', 'the', 'store', '', 'dk', 'SCREEN_NAME', 'you', 'can', 'easily', 'just', 'search', 'it', 'in', 'the', 'store', '', 'dk']",positive
2019/01/24,I added a video to a @YouTube playlist https://t.co/945YSemgj7 EL PLAYSTATION NOW DE SONY Y REGALO CODIGOS DE GAME PASS Y UN JUEGO I added a video to a @YouTube playlist https://t.co/945YSemgj7 EL PLAYSTATION NOW DE SONY Y REGALO CODIGOS DE GAME PASS Y UN JUEGO,I added a video to a @YouTube playlist https://t.co/945YSemgj7 EL PLAYSTATION NOW DE SONY Y REGALO CODIGOS DE GAME PASS Y UN JUEGO,2019/01/24,"['i', 'added', 'a', 'video', 'to', 'a', 'SCREEN_NAME', 'playlist', 'el', 'playstation', 'now', 'de', 'sony', 'y', 'regalo', 'codigos', 'de', 'game', 'pass', 'y', 'un', 'juego', 'i', 'added', 'a', 'video', 'to', 'a', 'SCREEN_NAME', 'playlist', 'el', 'playstation', 'now', 'de', 'sony', 'y', 'regalo', 'codigos', 'de', 'game', 'pass', 'y', 'un', 'juego']",negative
2019/01/25,@Luluperseu @LaurenJauregui True. @Luluperseu @LaurenJauregui True.,@Luluperseu @LaurenJauregui True.,2019/01/25,"['SCREEN_NAME', 'SCREEN_NAME', 'true', '', 'SCREEN_NAME', 'SCREEN_NAME', 'true', '']",positive
