Date_Ext,neutral,unknown
2019-02-01 ,373,5
2019-02-02 ,224,0
2019-02-03 ,189,5
2019-02-04 ,235,0
2019-02-05 ,229,0
2019-02-06 ,200,2
2019-02-07 ,707,17
2019-02-08 ,456,13
2019-02-09 ,376,0
2019-02-10 ,333,0
2019-02-11 ,203,2
2019-02-12 ,255,0
2019-02-13 ,192,3
2019-02-14 ,456,15
2019-02-15 ,882,6
2019-02-16 ,161,4
2019-02-17 ,168,0
2019-02-18 ,263,14
2019-02-19 ,283,4
2019-02-20 ,290,2
2019-02-21 ,221,0
2019-02-22 ,316,2
2019-02-23 ,235,4
2019-02-24 ,174,0
2019-02-25 ,278,8
2019-02-26 ,244,4
2019-02-27 ,231,0
2019-02-28 ,24,3
2019-03-01 ,198,0
