Date_Ext,negative,neutral,positive
2019-03-01 ,0,0,3
2019-03-02 ,0,0,1
2019-03-05 ,0,0,1
2019-03-06 ,0,0,4
2019-03-07 ,1,0,2
2019-03-08 ,1,1,0
2019-03-10 ,1,1,3
2019-03-11 ,0,0,3
2019-03-12 ,0,1,5
2019-03-13 ,1,0,9
2019-03-14 ,2,0,4
2019-03-15 ,0,1,0
2019-03-16 ,1,0,6
2019-03-17 ,1,0,4
2019-03-18 ,1,0,2
2019-03-19 ,15,13,60
2019-03-20 ,26,7,60
2019-03-21 ,5,0,13
2019-03-22 ,1,0,16
2019-03-23 ,0,0,7
2019-03-24 ,1,4,3
2019-03-25 ,1,0,8
2019-03-26 ,2,0,5
2019-03-27 ,0,0,9
2019-03-28 ,4,0,1
2019-03-29 ,0,0,1
2019-03-30 ,0,0,2
2019-03-31 ,0,1,0
