Date_Ext,negative,neutral,positive,unknown
2019-02-01 ,87,70,202,5
2019-02-02 ,46,43,126,0
2019-02-03 ,40,38,110,5
2019-02-04 ,51,28,141,0
2019-02-05 ,29,48,110,0
2019-02-06 ,45,57,85,0
2019-02-07 ,109,150,434,15
2019-02-08 ,60,119,269,13
2019-02-09 ,29,145,197,0
2019-02-10 ,88,48,195,0
2019-02-11 ,42,31,124,0
2019-02-12 ,45,59,145,0
2019-02-13 ,33,29,122,3
2019-02-14 ,47,59,329,13
2019-02-15 ,101,76,662,4
2019-02-16 ,32,30,88,4
2019-02-17 ,44,39,82,0
2019-02-18 ,37,39,170,13
2019-02-19 ,36,59,163,4
2019-02-20 ,43,89,145,2
2019-02-21 ,44,51,113,0
2019-02-22 ,57,76,155,0
2019-02-23 ,50,60,112,2
2019-02-24 ,35,37,96,0
2019-02-25 ,40,63,160,8
2019-02-26 ,54,55,128,4
2019-02-27 ,69,54,101,0
2019-02-28 ,5,4,14,3
2019-03-01 ,33,78,64,0
2019-03-02 ,32,64,94,2
2019-03-03 ,48,57,89,0
2019-03-04 ,63,42,123,4
2019-03-05 ,108,182,328,8
2019-03-06 ,57,111,210,6
2019-03-07 ,123,85,212,2
2019-03-08 ,93,94,186,2
2019-03-09 ,50,78,123,6
2019-03-10 ,44,57,120,0
2019-03-11 ,35,58,112,0
2019-03-12 ,123,392,431,30
2019-03-13 ,125,196,283,10
2019-03-14 ,82,116,182,0
2019-03-15 ,52,93,118,2
2019-03-16 ,40,93,117,2
2019-03-17 ,44,80,153,0
2019-03-18 ,42,69,223,6
2019-03-19 ,245,258,558,41
2019-03-20 ,188,235,412,21
2019-03-21 ,59,96,172,2
2019-03-22 ,57,74,146,4
2019-03-23 ,53,84,156,2
2019-03-24 ,56,92,137,6
2019-03-25 ,250,326,428,24
2019-03-26 ,106,81,159,5
2019-03-27 ,39,61,127,0
2019-03-28 ,42,62,104,2
2019-03-29 ,31,55,103,2
2019-03-30 ,30,44,93,0
2019-03-31 ,26,45,87,2
