Date_Ext,Category,0.0,1.0
2019/01/21,negative,76,59
2019/01/21,neutral,140,244
2019/01/21,positive,64,20
2019/01/22,negative,36,45
2019/01/22,neutral,126,219
2019/01/22,positive,65,24
2019/01/23,negative,56,69
2019/01/23,neutral,136,310
2019/01/23,positive,50,31
2019/01/24,negative,63,32
2019/01/24,neutral,228,320
2019/01/24,positive,68,29
2019/01/25,negative,74,56
2019/01/25,neutral,142,230
2019/01/25,positive,78,29
2019/01/26,negative,53,48
2019/01/26,neutral,155,197
2019/01/26,positive,97,48
