index,Date (EST),Contents,Category,Post Title,Date_Ext,token_text,sentiment_py,same_pred
0,10/16/2017,"I'm a fairly patient person, I'm not a perfectionist, I don't mind the odd hiccups now and again, but I am fed up with needing to reboot my router so that I can get the service I am entitled to have. The v1.22t issue seems to be dragging on for far too long. Today I rebooted because I lost the Sky channels, unable to log onto router and playstation not connecting. Router and playstation now ok but still no Sky (but program guide and info button are still showing program information!!). Remote connection is enabled on the router and my profile is up to date. OK, I know that the OCEs are not available till Monday but can anyone offer a glimmer of hope? ====================::==================== Hi AWM Mars If you start your own thread (new message), we ’ d love to help. We ’ ve found that posting in someone else ’ s conversation makes it harder to follow when looking for an answer. It ’ s easier and quicker if we can chat with you in a single thread, if you start your own thread, that will keep our community organised and help others with a similar problem. Check your home phone number or account number are also added to your Community Profile as that will really help us to find your details quicker. Thanks Karl Check & Report l Our latest Blog l Share your Ideas l Service Status l Help with your Service l Community Stars * Join our SamKnows Broadband Performance Trial * HG633 v1.22t How long do we have to wait for TT ...",negative,HG633 v1.22t How long do we have to wait for TT ...,10/16/2017,"['i', 'm', 'a', 'fairly', 'patient', 'person', '', 'i', 'm', 'not', 'a', 'perfectionist', '', 'i', 'do', 'nt', 'mind', 'the', 'odd', 'hiccups', 'now', 'and', 'again', '', 'but', 'i', 'am', 'fed', 'up', 'with', 'needing', 'to', 'reboot', 'my', 'router', 'so', 'that', 'i', 'can', 'get', 'the', 'service', 'i', 'am', 'entitled', 'to', 'have', '', 'the', 'v122', 't', 'issue', 'seems', 'to', 'be', 'dragging', 'on', 'for', 'far', 'too', 'long', '', 'today', 'i', 'rebooted', 'because', 'i', 'lost', 'the', 'sky', 'channels', '', 'unable', 'to', 'log', 'onto', 'router', 'and', 'playstation', 'not', 'connecting', '', 'router', 'and', 'playstation', 'now', 'ok', 'but', 'still', 'no', 'sky', '', 'but', 'program', 'guide', 'and', 'info', 'button', 'are', 'still', 'showing', 'program', 'information', '', '', '', '', 'remote', 'connection', 'is', 'enabled', 'on', 'the', 'router', 'and', 'my', 'profile', 'is', 'up', 'to', 'date', '', 'ok', '', 'i', 'know', 'that', 'the', 'oces', 'are', 'not', 'available', 'till', 'monday', 'but', 'can', 'anyone', 'offer', 'a', 'glimmer', 'of', 'hope', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'hi', 'awm', 'mars', 'if', 'you', 'start', 'your', 'own', 'thread', '', 'new', 'message', '', '', 'we', '', 'd', 'love', 'to', 'help', '', 'we', '', 've', 'found', 'that', 'posting', 'in', 'someone', 'else', '', 's', 'conversation', 'makes', 'it', 'harder', 'to', 'follow', 'when', 'looking', 'for', 'an', 'answer', '', 'it', '', 's', 'easier', 'and', 'quicker', 'if', 'we', 'can', 'chat', 'with', 'you', 'in', 'a', 'single', 'thread', '', 'if', 'you', 'start', 'your', 'own', 'thread', '', 'that', 'will', 'keep', 'our', 'community', 'organised', 'and', 'help', 'others', 'with', 'a', 'similar', 'problem', '', 'check', 'your', 'home', 'phone', 'number', 'or', 'account', 'number', 'are', 'also', 'added', 'to', 'your', 'community', 'profile', 'as', 'that', 'will', 'really', 'help', 'us', 'to', 'find', 'your', 'details', 'quicker', '', 'thanks', 'karl', 'check', '', 'report', 'l', 'our', 'latest', 'blog', 'l', 'share', 'your', 'ideas', 'l', 'service', 'status', 'l', 'help', 'with', 'your', 'service', 'l', 'community', 'stars', '', 'join', 'our', 'samknows', 'broadband', 'performance', 'trial', '', 'hg633', 'v122', 't', 'how', 'long', 'do', 'we', 'have', 'to', 'wait', 'for', 'tt', '']",neutral,0.0
1,10/15/2017,@PlayStation @AskPlayStation if you're not going to offer backwards comp. then let me play my psn purchases for free on #playstationnow @PlayStation @AskPlayStation if you're not going to offer backwards comp. then let me play my psn purchases for free on #playstationnow,neutral,@PlayStation @AskPlayStation if you're not going to offer backwards comp. then let me play my psn purchases for free on #playstationnow,10/15/2017,"['SCREEN_NAME', 'SCREEN_NAME', 'if', 'you', 're', 'not', 'going', 'to', 'offer', 'backwards', 'comp', '', 'then', 'let', 'me', 'play', 'my', 'psn', 'purchases', 'for', 'free', 'on', '', 'playstationnow', 'SCREEN_NAME', 'SCREEN_NAME', 'if', 'you', 're', 'not', 'going', 'to', 'offer', 'backwards', 'comp', '', 'then', 'let', 'me', 'play', 'my', 'psn', 'purchases', 'for', 'free', 'on', '', 'playstationnow']",positive,0.0
2,10/15/2017,@Ramb0sCorner might try PSNow :o @Ramb0sCorner might try PSNow :o,neutral,@Ramb0sCorner might try PSNow :o,10/15/2017,"['SCREEN_NAME', 'might', 'try', 'psnow', 'SCREEN_NAME', 'might', 'try', 'psnow']",neutral,1.0
3,10/16/2017,like psnow... this tech has been out for a long time. nan,neutral,,10/16/2017,"['like', 'psnow', '', 'this', 'tech', 'has', 'been', 'out', 'for', 'a', 'long', 'time', '', 'nan']",negative,0.0
4,10/16/2017,"@FrankKemp3 @JosephCshnDavis PlayStation Now is a streaming service and my internet is ass. Actually, it’s worse than ass. It’s taint. @FrankKemp3 @JosephCshnDavis PlayStation Now is a streaming service and my internet is ass. Actually, it’s worse than ass. It’s taint.",negative,"@FrankKemp3 @JosephCshnDavis PlayStation Now is a streaming service and my internet is ass. Actually, it’s worse than ass. It’s taint.",10/16/2017,"['SCREEN_NAME', 'SCREEN_NAME', 'playstation', 'now', 'is', 'a', 'streaming', 'service', 'and', 'my', 'internet', 'is', 'ass', '', 'actually', '', 'it', 's', 'worse', 'than', 'ass', '', 'it', 's', 'taint', '', 'SCREEN_NAME', 'SCREEN_NAME', 'playstation', 'now', 'is', 'a', 'streaming', 'service', 'and', 'my', 'internet', 'is', 'ass', '', 'actually', '', 'it', 's', 'worse', 'than', 'ass', '', 'it', 's', 'taint', '']",negative,1.0
5,10/15/2017,"Or any backwards compatibility, for that matter. This is from an article on Tweaktown: Of course, Ryan then slams the fidelity of old-school PlayStation games, which obviously look terrible on 1080p HDTVs. That's why Sony would remaster them and sell them for $14.99 a pop, like it does with its other PS2 games on PS4. ""When we've dabbled with backwards compatibility, I can say it is one of those features that is much requested, but not actually used much. That, and I was at a Gran Turismo event recently where they had PS1, PS2, PS3 and PS4 games, and the PS1 and the PS2 games, they looked ancient, like why would anybody play this?"" Just once, I would like a real, die hard gamer to work and have real influence in a company. I can go out and buy a PS3 system/games for a cheaper price than that scam called PSNow. I can even buy a PS2 and get all the games I want for it. But people don't want to do that. We want remasters of games, we want new support and a new, sleek look for games like God Hand, Legend of Dragoon, Final Fantasy, & dotHack, to name a few. Do I think it's ridiculous to have to pay $20 for a game I already own on PS2, just to play a cleaner version of it? A little. BUT, when you hit that vein of nostalgia, just like I have for God Hand, I would go as far as paying SIXTY dollars just to play an HD remaster. Why not take the amazing cult classics and super popular franchises that Sony owns and just fucking re-release them and profit at the same time? At the very least there should be a dedicated poll to what game gets remastered every week or so. I'm so disappointed in Sony and I have been ever since the release of the PS4. I wish they still cared about their old titles and the people who played them. Why doesn't anyone at Sony see the potential in PS2 on PS4?",negative,Why doesn't anyone at Sony see the potential in PS2 on PS4?,10/15/2017,"['or', 'any', 'backwards', 'compatibility', '', 'for', 'that', 'matter', '', 'this', 'is', 'from', 'an', 'article', 'on', 'tweaktown', 'of', 'course', '', 'ryan', 'then', 'slams', 'the', 'fidelity', 'of', 'old', 'school', 'playstation', 'games', '', 'which', 'obviously', 'look', 'terrible', 'on', '1080p', 'hdtvs', '', 'that', 's', 'why', 'sony', 'would', 'remaster', 'them', 'and', 'sell', 'them', 'for', '', '1499', 'a', 'pop', '', 'like', 'it', 'does', 'with', 'its', 'other', 'ps2', 'games', 'on', 'ps4', '', '', 'when', 'we', 've', 'dabbled', 'with', 'backwards', 'compatibility', '', 'i', 'can', 'say', 'it', 'is', 'one', 'of', 'those', 'features', 'that', 'is', 'much', 'requested', '', 'but', 'not', 'actually', 'used', 'much', '', 'that', '', 'and', 'i', 'was', 'at', 'a', 'gran', 'turismo', 'event', 'recently', 'where', 'they', 'had', 'ps1', '', 'ps2', '', 'ps3', 'and', 'ps4', 'games', '', 'and', 'the', 'ps1', 'and', 'the', 'ps2', 'games', '', 'they', 'looked', 'ancient', '', 'like', 'why', 'would', 'anybody', 'play', 'this', '', '', 'just', 'once', '', 'i', 'would', 'like', 'a', 'real', '', 'die', 'hard', 'gamer', 'to', 'work', 'and', 'have', 'real', 'influence', 'in', 'a', 'company', '', 'i', 'can', 'go', 'out', 'and', 'buy', 'a', 'ps3', 'systemgames', 'for', 'a', 'cheaper', 'price', 'than', 'that', 'scam', 'called', 'psnow', '', 'i', 'can', 'even', 'buy', 'a', 'ps2', 'and', 'get', 'all', 'the', 'games', 'i', 'want', 'for', 'it', '', 'but', 'people', 'do', 'nt', 'want', 'to', 'do', 'that', '', 'we', 'want', 'remasters', 'of', 'games', '', 'we', 'want', 'new', 'support', 'and', 'a', 'new', '', 'sleek', 'look', 'for', 'games', 'like', 'god', 'hand', '', 'legend', 'of', 'dragoon', '', 'final', 'fantasy', '', '', 'dothack', '', 'to', 'name', 'a', 'few', '', 'do', 'i', 'think', 'it', 's', 'ridiculous', 'to', 'have', 'to', 'pay', '', '20', 'for', 'a', 'game', 'i', 'already', 'own', 'on', 'ps2', '', 'just', 'to', 'play', 'a', 'cleaner', 'version', 'of', 'it', '', 'a', 'little', '', 'but', '', 'when', 'you', 'hit', 'that', 'vein', 'of', 'nostalgia', '', 'just', 'like', 'i', 'have', 'for', 'god', 'hand', '', 'i', 'would', 'go', 'as', 'far', 'as', 'paying', 'sixty', 'dollars', 'just', 'to', 'play', 'an', 'hd', 'remaster', '', 'why', 'not', 'take', 'the', 'amazing', 'cult', 'classics', 'and', 'super', 'popular', 'franchises', 'that', 'sony', 'owns', 'and', 'just', 'fucking', 're', 'release', 'them', 'and', 'profit', 'at', 'the', 'same', 'time', '', 'at', 'the', 'very', 'least', 'there', 'should', 'be', 'a', 'dedicated', 'poll', 'to', 'what', 'game', 'gets', 'remastered', 'every', 'week', 'or', 'so', '', 'i', 'm', 'so', 'disappointed', 'in', 'sony', 'and', 'i', 'have', 'been', 'ever', 'since', 'the', 'release', 'of', 'the', 'ps4', '', 'i', 'wish', 'they', 'still', 'cared', 'about', 'their', 'old', 'titles', 'and', 'the', 'people', 'who', 'played', 'them', '', 'why', 'does', 'nt', 'anyone', 'at', 'sony', 'see', 'the', 'potential', 'in', 'ps2', 'on', 'ps4', '']",negative,1.0
6,10/13/2017,"Originally posted by AXExX420Xx: Originally posted by Mick93: Why do people keep bringing up TLOU like it’s on pc? That game is a console exclusive. You can play it on PC through playstation now. You are right when it comes to that but you're streaming the game if you do it that way. However, you can only play it on PlayStation hardware. So that means... EXCLUSIVE. How similair is this game to The Last of us??",neutral,How similair is this game to The Last of us??,10/13/2017,"['originally', 'posted', 'by', 'axexx420xx', 'originally', 'posted', 'by', 'mick93', 'why', 'do', 'people', 'keep', 'bringing', 'up', 'tlou', 'like', 'it', 's', 'on', 'pc', '', 'that', 'game', 'is', 'a', 'console', 'exclusive', '', 'you', 'can', 'play', 'it', 'on', 'pc', 'through', 'playstation', 'now', '', 'you', 'are', 'right', 'when', 'it', 'comes', 'to', 'that', 'but', 'you', 're', 'streaming', 'the', 'game', 'if', 'you', 'do', 'it', 'that', 'way', '', 'however', '', 'you', 'can', 'only', 'play', 'it', 'on', 'playstation', 'hardware', '', 'so', 'that', 'means', '', 'exclusive', '', 'how', 'similair', 'is', 'this', 'game', 'to', 'the', 'last', 'of', 'us', '', '']",negative,0.0
7,10/15/2017,playstation now would be goat if I could finesse the system and keep the games after I cancel that subscription playstation now would be goat if I could finesse the system and keep the games after I cancel that subscription,neutral,playstation now would be goat if I could finesse the system and keep the games after I cancel that subscription,10/15/2017,"['playstation', 'now', 'would', 'be', 'goat', 'if', 'i', 'could', 'finesse', 'the', 'system', 'and', 'keep', 'the', 'games', 'after', 'i', 'cancel', 'that', 'subscription', 'playstation', 'now', 'would', 'be', 'goat', 'if', 'i', 'could', 'finesse', 'the', 'system', 'and', 'keep', 'the', 'games', 'after', 'i', 'cancel', 'that', 'subscription']",neutral,1.0
8,10/17/2017,Make online free and add PSNow to the subscription without raising the price. nan,neutral,,10/17/2017,"['make', 'online', 'free', 'and', 'add', 'psnow', 'to', 'the', 'subscription', 'without', 'raising', 'the', 'price', '', 'nan']",positive,0.0
9,10/17/2017,Damn I've been playing the regular special edition on psnow for a few weeks and haven't seen anything new from when I played it at release. Haven't finished a story playthrough yet though hoping vergil and lady is unlocked then. nan,neutral,,10/17/2017,"['damn', 'i', 've', 'been', 'playing', 'the', 'regular', 'special', 'edition', 'on', 'psnow', 'for', 'a', 'few', 'weeks', 'and', 'havent', 'seen', 'anything', 'new', 'from', 'when', 'i', 'played', 'it', 'at', 'release', '', 'havent', 'finished', 'a', 'story', 'playthrough', 'yet', 'though', 'hoping', 'vergil', 'and', 'lady', 'is', 'unlocked', 'then', '', 'nan']",neutral,1.0
