Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
2/10/2019,20,41,11,15.277777777777779,27.77777777777778,56.94444444444444
2/11/2019,26,69,26,21.487603305785125,21.487603305785125,57.02479338842975
2/12/2019,24,59,23,21.69811320754717,22.641509433962263,55.660377358490564
2/13/2019,19,44,14,18.181818181818183,24.675324675324674,57.142857142857146
2/4/2019,41,44,11,11.458333333333334,42.708333333333336,45.833333333333336
2/5/2019,20,56,7,8.433734939759036,24.096385542168676,67.46987951807229
2/6/2019,22,55,20,20.61855670103093,22.68041237113402,56.70103092783505
2/7/2019,30,137,28,14.35897435897436,15.384615384615385,70.25641025641026
2/8/2019,28,90,19,13.86861313868613,20.437956204379564,65.69343065693431
2/9/2019,30,60,16,15.09433962264151,28.30188679245283,56.60377358490566
